Date,Time,Pair,Price
10/06/2022,10:34:58,WBTC/USD,20032.07131583
10/06/2022,10:35:00,WBTC/USD,20032.07131583
10/06/2022,10:35:01,WBTC/USD,20032.07131583
10/06/2022,10:35:02,WBTC/USD,20032.07131583
10/06/2022,10:35:03,WBTC/USD,20032.07131583
10/06/2022,10:35:04,WBTC/USD,20032.07131583
10/06/2022,10:35:05,WBTC/USD,20032.07131583
10/06/2022,10:35:06,WBTC/USD,20032.07131583
10/06/2022,10:35:08,WBTC/USD,20032.07131583
10/06/2022,10:35:09,WBTC/USD,20032.07131583
10/06/2022,10:35:10,WBTC/USD,20032.07131583
10/06/2022,10:35:11,WBTC/USD,20032.07131583
10/06/2022,10:35:12,WBTC/USD,20032.07131583
10/06/2022,10:35:13,WBTC/USD,20033.0
10/06/2022,10:35:14,WBTC/USD,20033.0
10/06/2022,10:35:14,WBTC/USD,20033.0
10/06/2022,10:35:16,WBTC/USD,20033.0
10/06/2022,10:35:17,WBTC/USD,20033.0
10/06/2022,10:35:18,WBTC/USD,20033.0
10/06/2022,10:35:19,WBTC/USD,20033.0
10/06/2022,10:35:20,WBTC/USD,20033.0
10/06/2022,10:35:21,WBTC/USD,20033.0
10/06/2022,10:35:22,WBTC/USD,20033.0
10/06/2022,10:35:23,WBTC/USD,20033.0
10/06/2022,10:35:25,WBTC/USD,20031.0
10/06/2022,10:35:26,WBTC/USD,20031.0
10/06/2022,10:35:27,WBTC/USD,20031.0
10/06/2022,10:35:28,WBTC/USD,20031.0
10/06/2022,10:35:29,WBTC/USD,20031.0
10/06/2022,10:35:30,WBTC/USD,20031.0
10/06/2022,10:35:32,WBTC/USD,20031.0
10/06/2022,10:35:33,WBTC/USD,20031.0
10/06/2022,10:35:34,WBTC/USD,20031.0
10/06/2022,10:35:36,WBTC/USD,20035.0
10/06/2022,10:35:37,WBTC/USD,20035.0
10/06/2022,10:35:38,WBTC/USD,20035.0
10/06/2022,10:35:39,WBTC/USD,20035.0
10/06/2022,10:35:40,WBTC/USD,20035.0
10/06/2022,10:35:41,WBTC/USD,20035.0
10/06/2022,10:35:42,WBTC/USD,20035.0
10/06/2022,10:35:43,WBTC/USD,20035.0
10/06/2022,10:35:44,WBTC/USD,20035.0
10/06/2022,10:35:45,WBTC/USD,20035.0
10/06/2022,10:35:47,WBTC/USD,20035.0
10/06/2022,10:35:48,WBTC/USD,20035.0
10/06/2022,10:35:49,WBTC/USD,20035.48
10/06/2022,10:35:50,WBTC/USD,20035.12
10/06/2022,10:35:51,WBTC/USD,20035.19
10/06/2022,10:35:52,WBTC/USD,20036.51
10/06/2022,10:35:53,WBTC/USD,20035.81
10/06/2022,10:35:55,WBTC/USD,20035.5
10/06/2022,10:35:56,WBTC/USD,20035.05
10/06/2022,10:35:57,WBTC/USD,20034.18
10/06/2022,10:35:58,WBTC/USD,20034.34
10/06/2022,10:35:59,WBTC/USD,20034.22
10/06/2022,10:36:00,WBTC/USD,20035.41
10/06/2022,10:36:01,WBTC/USD,20034.58
10/06/2022,10:36:02,WBTC/USD,20036.56
10/06/2022,10:36:04,WBTC/USD,20035.74
10/06/2022,10:36:05,WBTC/USD,20036.37
10/06/2022,10:36:06,WBTC/USD,20036.62
10/06/2022,10:36:07,WBTC/USD,20037.3
10/06/2022,10:36:08,WBTC/USD,20037.36
10/06/2022,10:36:09,WBTC/USD,20037.0
10/06/2022,10:36:10,WBTC/USD,20037.0
10/06/2022,10:36:11,WBTC/USD,20038.4
10/06/2022,10:36:12,WBTC/USD,20036.75839929
10/06/2022,10:36:13,WBTC/USD,20036.75839929
10/06/2022,10:36:15,WBTC/USD,20036.75839929
10/06/2022,10:36:16,WBTC/USD,20036.75839929
10/06/2022,10:36:17,WBTC/USD,20036.75839929
10/06/2022,10:36:18,WBTC/USD,20036.75839929
10/06/2022,10:36:19,WBTC/USD,20036.75839929
10/06/2022,10:36:20,WBTC/USD,20036.75839929
10/06/2022,10:36:21,WBTC/USD,20036.75839929
10/06/2022,10:36:22,WBTC/USD,20036.75839929
10/06/2022,10:36:23,WBTC/USD,20036.75839929
10/06/2022,10:36:24,WBTC/USD,20036.75839929
10/06/2022,10:36:25,WBTC/USD,20036.75839929
10/06/2022,10:36:26,WBTC/USD,20036.75839929
10/06/2022,10:36:27,WBTC/USD,20036.75839929
10/06/2022,10:36:29,WBTC/USD,20036.75839929
10/06/2022,10:36:30,WBTC/USD,20036.75839929
10/06/2022,10:36:31,WBTC/USD,20036.75839929
10/06/2022,10:36:32,WBTC/USD,20036.75839929
10/06/2022,10:36:33,WBTC/USD,20036.75839929
10/06/2022,10:36:35,WBTC/USD,20036.75839929
10/06/2022,10:36:36,WBTC/USD,20036.75839929
10/06/2022,10:36:37,WBTC/USD,20036.75839929
10/06/2022,10:36:38,WBTC/USD,20036.75839929
10/06/2022,10:36:39,WBTC/USD,20036.75839929
10/06/2022,10:36:40,WBTC/USD,20036.75839929
10/06/2022,10:36:41,WBTC/USD,20036.75839929
10/06/2022,10:36:43,WBTC/USD,20036.75839929
10/06/2022,10:36:44,WBTC/USD,20036.75839929
10/06/2022,10:36:45,WBTC/USD,20031.0
10/06/2022,10:36:46,WBTC/USD,20036.75839929
10/06/2022,10:36:46,WBTC/USD,20036.75839929
10/06/2022,10:36:48,WBTC/USD,20036.75839929
10/06/2022,10:36:48,WBTC/USD,20036.75839929
10/06/2022,10:36:50,WBTC/USD,20034.0
10/06/2022,10:36:51,WBTC/USD,20036.75839929
10/06/2022,10:36:52,WBTC/USD,20033.62
10/06/2022,10:36:53,WBTC/USD,20031.97
10/06/2022,10:36:54,WBTC/USD,20031.7
10/06/2022,10:36:55,WBTC/USD,20031.87
10/06/2022,10:36:56,WBTC/USD,20031.7
10/06/2022,10:36:57,WBTC/USD,20031.99
10/06/2022,10:36:58,WBTC/USD,20031.0
10/06/2022,10:37:00,WBTC/USD,20031.0
10/06/2022,10:37:01,WBTC/USD,20032.0
10/06/2022,10:37:02,WBTC/USD,20031.91
10/06/2022,10:37:03,WBTC/USD,20032.0
10/06/2022,10:37:04,WBTC/USD,20032.0
10/06/2022,10:37:05,WBTC/USD,20032.51
10/06/2022,10:37:06,WBTC/USD,20032.0
10/06/2022,10:37:07,WBTC/USD,20032.48
